tokens	pos	annotation
Habet	VERB	
poeseos	NOUN	
supellex	NOUN	
comediam	NOUN	
quamdam	DET	
elegeiaco	ADJ	
pede	NOUN	
scriptam	VERB	
que	CCONJ	
Pamphileos	PROPN	
inscribitur	VERB	
de	ADP	
cuius	PRON	
auctore	NOUN	
contentionem	NOUN	
reperio	VERB	
ab	ADP	
eius	PRON	
commentario	NOUN	
qui	PRON	
non	PART	
credens	VERB	
eam	PRON	
Ovidii	PROPN	
fuisse	AUX	
certe	ADV	
Ovidii	PROPN	
cuiusdam	DET	
sectatoris	NOUN	
extitisse	VERB	
autumat	VERB	
ob	ADP	
preceptorum	DET	
que	PRON	
de	ADP	
amore	NOUN	
tradit	VERB	
cum	SCONJ	
ovidianis	DET	
preceptis	VERB	
conformitatem	NOUN	
quis	PRON	
igitur	PART	
extiterit	VERB	
aliorum	DET	
sententie	NOUN	
delato	VERB	
huius	DET	
est	AUX	
principii	NOUN	
vulneror	NOUN	VERB
et	CCONJ	
clausum	VERB	
porto	VERB	
sub	ADP	
pectore	NOUN	
vulnus	NOUN	
habet	VERB	
que	CCONJ	
Pamphili	PROPN	
cuiusdam	DET	
Galateam	PROPN	
deperientis	VERB	
amores	NOUN	
qui	PRON	
hoc	DET	
fere	ADV	
tenore	NOUN	
ab	ADP	
eo	PRON	
discribuntur	VERB	
Pamphilus	PROPN	
de	ADP	
ardore	NOUN	
sui	DET	
amoris	NOUN	
conquestus	VERB	
a	ADP	
Venere	PROPN	
documenta	NOUN	
pro	ADP	
remedio	NOUN	
accipit	VERB	
quibus	PRON	
audentior	ADJ	
factus	VERB	
Galateam	PROPN	
alloquitur	VERB	
que	CCONJ	
ut	SCONJ	
est	AUX	
foeminarum	NOUN	
primo	ADJ	
aggressu	NOUN	
severitas	NOUN	
petitis	VERB	
annuere	VERB	
recusat	VERB	
quod	PRON	
quidem	PART	
Pamphilo	PROPN	
causa	NOUN	
est	AUX	
vetule	NOUN	
cuiusdam	DET	
auxilium	NOUN	
implorandi	VERB	
que	CCONJ	
dum	SCONJ	
lene	ADV	NOUN
officio	NOUN	
fungitur	VERB	
ut	SCONJ	
plus	ADV	
a	ADP	
correpto	VERB	
adulescente	NOUN	
pecuniarum	NOUN	
emungat	VERB	
delationis	NOUN	
causas	NOUN	
nectit	VERB	
ast	CCONJ	
tandem	ADV	
favore	NOUN	
ei	PRON	
liberalius	ADV	ADJ
prestito	VERB	
Pamphilum	PROPN	
simul	ADV	
et	CCONJ	
Galateam	PROPN	
domi	ADV	NOUN
sub	ADP	
utriusque	DET	
consensu	NOUN	
et	CCONJ	
pacto	NOUN	
recipit	VERB	
auctor	NOUN	
que	CCONJ	
efficitur	VERB	
optato	VERB	
potiundi	VERB	
fine	NOUN	
quem	PRON	
foedere	NOUN	
coniugali	ADJ	
tamdem	ADV	
Pamphilus	PROPN	
assequitur	VERB	
quequidem	ADV	DET
dum	SCONJ	
a	ADP	
comedie	NOUN	
huius	DET	
auctore	NOUN	
familiari	ADJ	
versu	NOUN	
describuntur	VERB	
interim	ADV	
amoris	NOUN	
in	ADP	
adolescentes	VERB	
imperium	NOUN	
amantium	VERB	
que	CCONJ	
passiones	NOUN	
ac	CCONJ	
incommoda	ADJ	
nec	CCONJ	
non	PART	
lenarum	NOUN	
versutie	ADJ	NOUN
non	PART	
avare	VERB	ADV
ab	ADP	
eo	PRON	
docentur	VERB	
