tokens	pos	annotation
Marcus	PROPN	
Tullius	PROPN	
Cicero	PROPN	
romani	ADJ	
eloquii	NOUN	
iubar	NOUN	
inter	ADP	
alia	DET	
quae	PRON	
scriptsit	VERB	
opus	NOUN	
unum	NUM	
de	ADP	
officiis	NOUN	
tribus	NUM	
libris	NOUN	
complexus	VERB	
estin	VERB	X
quo	PRON	
ex	ADP	
intimis	ADJ	
philosophie	NOUN	
penetralibus	ADJ	
plura	DET	
quam	SCONJ	
quae	PRON	
facile	ADV	
in	ADP	
epithomem	NOUN	
redigam	VERB	
moralia	ADJ	
tradidit	VERB	
ad	ADP	
vite	NOUN	
honeste	ADV	
insistutum	VERB	
facientia	NOUN	
precepta	VERB	
cum	SCONJ	
enim	PART	
quid	PRON	
et	CCONJ	
quottuplex	ADV	ADJ
sit	AUX	
officum	ADJ	NOUN
quod	PRON	
recti	ADJ	
appellat	VERB	
rationem	NOUN	
seu	CCONJ	
actionem	NOUN	
quam	PRON	
ratio	NOUN	
suadet	VERB	
curiosius	ADV	
inquirit	VERB	
ipsum	DET	
que	CCONJ	
ex	ADP	
4	NUM	
virtutibus	NOUN	
veluti	ADV	
ex	ADP	
4	NUM	
fontibusprudentia	NOUN	X
scilicet	CCONJ	
iusticia	ADJ	
fortitudine	NOUN	
et	CCONJ	
temperantia	NOUN	
manare	VERB	
ostendit	VERB	
interim	ADV	
earum	PRON	
omnium	DET	
virtutum	NOUN	
rationem	NOUN	
explicat	VERB	
quae	PRON	
has	DET	
veluti	ADV	
duces	NOUN	
comitantur	VERB	
quibus	PRON	
quidem	PART	
efferendis	VERB	
ea	PRON	
usus	NOUN	
est	AUX	
erga	ADP	
conditionis	NOUN	
cuiusque	DET	
homines	NOUN	
liberalitate	NOUN	
ut	SCONJ	
tam	ADV	CCONJ
magistratuum	NOUN	
quam	SCONJ	CCONJ
privatorum	NOUN	
hominum	NOUN	
ac	CCONJ	
peregrinorum	NOUN	
munus	NOUN	
in	ADP	
republica	NOUN	
distinxerit	VERB	
et	CCONJ	
singulos	ADJ	
rectam	ADJ	
docuerit	VERB	
vivendi	VERB	
legem	NOUN	
quam	PRON	
transilire	VERB	
non	PART	
sine	ADP	
vitio	NOUN	
possis	VERB	
et	CCONJ	
qua	PRON	
servata	VERB	
honestatem	NOUN	
non	PART	
laedas	VERB	
si	SCONJ	
enim	PART	
adolescens	VERB	
es	AUX	
et	CCONJ	
intra	ADV	ADP
adhuc	ADV	
fortune	NOUN	
aream	NOUN	
clausus	VERB	
quo	PRON	
adolescentiam	NOUN	
cum	ADP	
gloria	NOUN	
atque	CCONJ	
honore	NOUN	
conteras	VERB	
ac	CCONJ	
cum	ADP	
decore	NOUN	
foelicem	NOUN	ADJ
assequaris	VERB	
senectutem	NOUN	
habes	VERB	
hic	ADV	
antidota	NOUN	
preclarissima	ADJ	
nec	CCONJ	
senibus	NOUN	
gravatus	VERB	
est	AUX	
dare	VERB	
consilium	NOUN	
quo	PRON	
senectutem	NOUN	
non	PART	
labefactent	VERB	
sed	CCONJ	
quomodo	ADV	
hii	DET	
erga	ADP	
adolescentes	ADJ	
se	PRON	
habere	VERB	
qualiter	ADV	
que	CCONJ	
reipublicae	NOUN	
subvenire	VERB	
debeant	VERB	
consilio	NOUN	
et	CCONJ	
qualiter	SCONJ	
adolescentes	ADJ	
hos	DET	
revereri	VERB	
teneantur	VERB	
erudite	VERB	
admodum	ADV	
docet	VERB	
cum	SCONJ	
autem	PART	
virtutes	NOUN	
eas	PRON	
quae	PRON	
honesti	NOUN	
normam	NOUN	
edificant	VERB	
speciatim	ADV	
recenset	VERB	
vitia	NOUN	
sit	AUX	
annectit	VERB	
quibus	PRON	
honestas	NOUN	
labefactaturunum	NOUN	X
cum	SCONJ	
de	ADP	
iustitie	NOUN	
eminentia	NOUN	
inter	ADP	
virtutes	NOUN	
edisserit	VERB	
ac	CCONJ	
quanto	DET	
studio	NOUN	
servanda	VERB	
sit	AUX	
admonet	VERB	
iniustitie	NOUN	
et	CCONJ	
iniuriarum	NOUN	
genera	NOUN	
simul	ADV	
explicat	VERB	
et	CCONJ	
hic	ADV	
quam	SCONJ	
ob	ADP	
causam	NOUN	
sint	AUX	
suscipienda	VERB	
bella	NOUN	
quaeque	DET	
ad	ADP	
id	PRON	
iuste	ADV	
sint	AUX	
occasiones	NOUN	
annectit	VERB	
cum	ADP	
preterea	ADV	
de	ADP	
liberalitate	NOUN	
quam	SCONJ	
summopere	ADV	
commendat	VERB	
sermonem	NOUN	
facit	VERB	
in	ADP	
quo	PRON	
ipsa	DET	PRON
consistat	VERB	
et	CCONJ	
varia	ADJ	
ab	ADP	
ea	PRON	
manantia	VERB	
largitionum	NOUN	
genera	NOUN	
ac	CCONJ	
que	CCONJ	PRON
eius	PRON	
habenda	VERB	
sit	AUX	
ratio	NOUN	
simul	ADV	
edocet	VERB	
de	ADP	
fortitudine	NOUN	
autem	PART	
loquens	VERB	
audaciam	NOUN	
ac	CCONJ	
adulteram	NOUN	
illam	DET	
cum	ADP	
elationem	NOUN	
a	ADP	
fortitudine	NOUN	
dissidentem	VERB	
detestatur	VERB	
et	CCONJ	
hic	ADV	
quid	PRON	
belli	NOUN	
tempore	NOUN	
imperatoribus	NOUN	
ac	CCONJ	
magistratibus	NOUN	
conducat	VERB	
coniunctim	ADV	
explicat	VERB	
rempublicam	ADJ	NOUN
auctoritate	NOUN	
et	CCONJ	
consilio	NOUN	
tuentes	VERB	
belli	NOUN	
ducibus	NOUN	
haud	PART	
quaquam	ADV	
postponendos	VERB	
esse	AUX	
consentiens	VERB	
docet	VERB	
et	CCONJ	
circa	ADP	
hec	DET	
quam	SCONJ	ADV
foedum	ADJ	
sit	AUX	
ambitionis	NOUN	
vitium	NOUN	
et	CCONJ	
quid	PRON	
precipue	ADV	
cumadvertendum	VERB	X
eis	PRON	
est	AUX	
qui	PRON	
alias	DET	
sunt	AUX	
punituri	VERB	
de	ADP	
temperantia	NOUN	
posthec	VERB	ADV
sermonem	NOUN	
habens	VERB	
latius	ADV	
evagatur	VERB	
et	CCONJ	
in	ADP	
rebus	NOUN	
omnibus	DET	
mediocritatem	NOUN	
quamdum	ADV	
commendat	VERB	
et	CCONJ	
hic	DET	ADV
unicuique	DET	
proponendum	VERB	
esse	AUX	
ait	VERB	
vite	NOUN	
quoddam	DET	
institutum	VERB	
ad	ADP	
quod	PRON	
omnes	DET	
suas	DET	
actiones	NOUN	
dirigat	VERB	
hic	ADV	
item	ADV	
pudoris	NOUN	
iocandi	VERB	
ludendi	VERB	
sermonis	NOUN	
magnam	ADJ	
habendam	VERB	
esse	AUX	
rationem	NOUN	
hortaturdocet	VERB	X
preterea	ADV	
quae	PRON	
artium	NOUN	
sint	AUX	
honeste	ADV	
et	CCONJ	
qui	PRON	
quaestus	NOUN	
ab	ADP	
honestate	NOUN	
devient	VERB	
cumque	SCONJ	ADV
gloriam	NOUN	
perfectam	ADJ	
ad	ADP	
quam	PRON	
omnes	DET	
intendimur	VERB	
consistere	VERB	
dicat	VERB	
in	ADP	
multitudinis	NOUN	
dilectione	NOUN	
et	CCONJ	
fide	NOUN	
ac	CCONJ	
admiratione	NOUN	
qua	PRON	
nos	PRON	
populus	NOUN	
honore	NOUN	
dignos	ADJ	
estimat	VERB	
quo	PRON	
hec	DET	
modo	ADV	
acquiri	VERB	
possint	VERB	
ad	ADP	
amussim	ADV	NOUN
ostendit	VERB	
detestatur	VERB	
et	CCONJ	
in	ADP	
prefatis	DET	
libris	NOUN	
summopere	ADV	
avaritiam	NOUN	
qua	PRON	
penitus	ADV	
debere	VERB	
vacuum	ADJ	
esse	AUX	
censet	VERB	
eum	PRON	
qui	PRON	
publicis	ADJ	
fungitur	VERB	
muneribus	NOUN	
postremo	ADV	
autem	PART	
offitii	NOUN	
cognoscendi	VERB	
formulam	NOUN	
ostendens	VERB	
utilitatem	NOUN	
veram	ADJ	
necessario	ADV	
coniunctam	VERB	
esse	AUX	
honesti	NOUN	
pluribus	DET	
rationibus	NOUN	
deducit	VERB	
ut	ADV	ADV
que	CCONJ	X
particularibus	ADJ	
iis	PRON	
quae	PRON	
precipuam	ADV	ADJ
officiorum	NOUN	
voluminis	NOUN	
supellectilem	NOUN	
constituunt	VERB	
missa	VERB	
faciam	VERB	
vite	NOUN	
honeste	ADV	ADJ
ratio	NOUN	
et	CCONJ	
typus	NOUN	
abunde	ADV	
ex	ADP	
eo	PRON	
volumine	NOUN	
colligi	VERB	
potest	VERB	
cui	PRON	
plerumque	DET	
dyalogus	NOUN	
quidam	DET	
assuitur	VERB	
eiusdem	DET	
Ciceronis	PROPN	
de	ADP	
amicitia	NOUN	
