tokens	pos	annotation
Egidius	PROPN	
a	ADP	
Roma	PROPN	
ordinis	NOUN	
heremitarum	NOUN	
divi	ADJ	
Augustini	PROPN	
sectator	NOUN	
de	ADP	
regimine	NOUN	
principum	NOUN	
volumen	NOUN	
quoddam	DET	
edidit	VERB	
lectionis	NOUN	
admodum	ADV	
fructiferae	ADJ	
quo	PRON	
in	ADP	
treis	NOUN	NUM
partiales	ADJ	
libellos	NOUN	
dissecto	VERB	
docet	VERB	
in	ADP	
eis	PRON	
permixtim	ADV	
qualis	DET	
debeat	VERB	
esse	AUX	
principum	NOUN	
educatio	NOUN	
quodve	SCONJ	
sit	AUX	
educatorum	NOUN	
ac	CCONJ	
iam	ADV	
in	ADP	
suo	DET	
regno	NOUN	
constitutorum	VERB	NOUN
offitium	NOUN	
et	CCONJ	
quae	PRON	
sit	AUX	
laudabiliter	ADV	
instituta	VERB	
oeconomia	NOUN	
seu	CCONJ	
politia	NOUN	
familiaris	NOUN	ADJ
et	CCONJ	
domestica	ADJ	
quaeve	ADV	X
ad	ADP	
laudatissimam	ADJ	
requirantur	VERB	
rempublicam	NOUN	
quae	PRON	
ut	SCONJ	
spetialius	ADV	
de	ADP	
articulem	NOUN	
secundum	ADP	
librorum	NOUN	
sectiones	NOUN	
procedamquorum	VERB	X
primus	ADJ	
in	ADP	
quatuor	NUM	
dissectus	ADV	
est	AUX	
particulas	NOUN	
quarum	PRON	
prima	ADJ	
docet	VERB	
in	ADP	
quo	PRON	
sit	AUX	
ponenda	VERB	
foelicitas	NOUN	
ac	CCONJ	
in	ADP	
quo	PRON	
reges	NOUN	
et	CCONJ	
principes	NOUN	
eam	PRON	
collocare	VERB	
debent	VERB	
ubi	SCONJ	
post	ADP	
multas	DET	
negationes	NOUN	
quibus	PRON	
felicitatem	NOUN	
a	ADP	
voluptate	NOUN	
a	ADP	
divitiis	NOUN	
ab	ADP	
honore	NOUN	
a	ADP	
potentia	NOUN	
civili	ADJ	
et	CCONJ	
quibus	PRON	DET
vis	VERB	X
denique	ADV	
bonis	ADJ	
temporalibus	ADJ	
separat	VERB	
tamdem	ADV	
in	ADP	
solo	DET	
Dei	PROPN	
amore	NOUN	
et	CCONJ	
in	ADP	
actu	NOUN	
prudentiae	NOUN	
eam	PRON	
statuit	VERB	
de	ADP	
inde	ADV	
in	ADP	
secunda	ADJ	
particula	NOUN	
huius	DET	
primi	ADJ	
libri	NOUN	
docet	VERB	
quas	PRON	
virtutes	NOUN	
habere	VERB	
debeant	VERB	
reges	NOUN	
atque	CCONJ	
principes	NOUN	
cuius	PRON	
rei	NOUN	
gratia	NOUN	
de	ADP	
distinctione	NOUN	
potentiarum	NOUN	
animae	NOUN	
de	ADP	
subiecto	NOUN	
virtutum	NOUN	
quod	PRON	
intellectum	NOUN	
et	CCONJ	
appetitum	NOUN	
statuit	VERB	
et	CCONJ	
de	ADP	
quidditate	NOUN	
omnium	DET	
virtutum	NOUN	
deque	CCONJ	ADV
virtutum	NOUN	
obiectis	NOUN	
et	CCONJ	
iis	PRON	
in	ADP	
quibus	PRON	
consistunt	VERB	
abunde	ADV	
hic	ADV	
edisserit	VERB	
in	ADP	
tertia	ADJ	
vero	ADV	
huius	DET	
libri	NOUN	
particula	NOUN	
docet	VERB	
quas	PRON	
animae	NOUN	
passiones	NOUN	
sequi	VERB	
debeant	VERB	
reges	NOUN	
atque	CCONJ	
principes	NOUN	
quo	PRON	
fit	VERB	
ut	SCONJ	
de	ADP	
animae	NOUN	
passionum	NOUN	
natura	NOUN	
plurima	DET	
hic	ADV	
discutiat	VERB	
deinde	ADV	
in	ADP	
quarta	ADJ	
particula	NOUN	
docet	VERB	
qui	PRON	
sint	AUX	
iuvenum	ADJ	NOUN
quive	CCONJ	
senum	NOUN	
tam	ADV	CCONJ
nobilium	NOUN	ADJ
quam	SCONJ	CCONJ
ignobilium	ADJ	
mores	NOUN	
et	CCONJ	
qui	PRON	
horum	DET	
sint	AUX	
laudabiles	ADJ	
et	CCONJ	
qui	PRON	
vitio	NOUN	
dandi	VERB	
quibus	PRON	
edoctis	VERB	
secundum	ADP	
librum	NOUN	
exorditur	VERB	
quo	PRON	
in	ADP	
treis	ADJ	NUM
parteis	NOUN	
dissecto	VERB	
in	ADP	
prima	ADJ	
docet	VERB	
quo	PRON	
regimine	NOUN	
reges	NOUN	
et	CCONJ	
principes	NOUN	
debeant	VERB	
suas	DET	
coniuges	NOUN	
regere	VERB	
ubi	ADV	
permixtim	ADV	
habent	VERB	
et	CCONJ	
cives	NOUN	
quique	DET	
qualiter	SCONJ	
familiam	NOUN	
suam	DET	
instituere	VERB	
debeant	VERB	
qualiter	SCONJ	
que	CCONJ	
sit	AUX	
uxoribus	NOUN	
convivendum	VERB	
ac	CCONJ	
quae	PRON	
et	CCONJ	
quibus	PRON	
dotibus	NOUN	
tam	ADV	
interius	ADV	
quam	SCONJ	
exterius	ADV	
predicta	DET	
uxor	NOUN	
sit	AUX	
ducenda	VERB	
deinde	ADV	
in	ADP	
secunda	ADJ	
parte	NOUN	
docet	VERB	
quae	PRON	
habenda	VERB	
sit	AUX	
ratio	NOUN	
educationis	NOUN	
