tokens	pos	annotation
Publius	PROPN	
Faustus	PROPN	
Andrelinus	PROPN	
foroliviensis	NOUN	ADJ
inter	ADP	
alia	DET	
quibus	PRON	
vivacissimum	ADJ	
suum	DET	
ingenium	NOUN	
attestatus	VERB	
est	AUX	
novem	NUM	
aedidit	VERB	
iuxta	ADP	
numerum	NOUN	
musarum	NOUN	
adagiales	ADJ	
seu	CCONJ	
proverbiales	ADJ	
epistolas	NOUN	
soluto	VERB	
pede	NOUN	
id	PRON	
quod	PRON	
rare	VERB	ADV
fecit	VERB	
conscriptas	VERB	
in	ADP	
quarum	PRON	
prima	ADJ	
docet	VERB	
causam	NOUN	
curhactenus	ADV	X
in	ADP	
procidendo	VERB	
tantum	ADV	
carmine	NOUN	
insudaverit	VERB	
et	CCONJ	
nunc	ADV	
demum	ADV	
solutam	VERB	
orationem	NOUN	
aggrediatur	VERB	
in	ADP	
secunda	ADJ	
docet	VERB	
amico	NOUN	
reconciliato	VERB	
aut	CCONJ	
raro	ADJ	
aut	CCONJ	
numquam	ADV	
esse	AUX	
fidendum	VERB	
in	ADP	
tertia	ADJ	
ostendit	VERB	
aeneadem	ADJ	PROPN
virgilianam	NOUN	ADJ
dubiam	ADJ	
habentem	VERB	
cum	ADP	
iliade	NOUN	PROPN
palmam	NOUN	
non	PART	
ab	ADP	
omnibus	DET	
intelligi	VERB	
in	ADP	
quarta	ADJ	
docet	VERB	
non	PART	
esse	AUX	
antiquitatis	NOUN	
obliteratis	VERB	
que	CCONJ	
verbis	NOUN	
utendum	VERB	
in	ADP	
quinta	ADJ	
monet	VERB	
non	PART	
habendum	VERB	
esse	NOUN	
cum	ADP	
foemina	NOUN	
commertium	NOUN	
in	ADP	
sexta	ADJ	
docet	VERB	
temporis	NOUN	
iactura	NOUN	
nihil	PRON	
esse	AUX	
neque	CCONJ	
permitiosius	ADV	
neque	CCONJ	
detestabilius	ADV	
in	ADP	
septima	ADJ	
docet	VERB	
ut	SCONJ	
pueri	NOUN	
siat	VERB	
ab	ADP	
optimo	ADJ	
praeceptore	NOUN	
candidis	ADJ	
tum	ADV	
litteris	NOUN	
tum	ADV	
moribus	NOUN	
imbuendi	VERB	
in	ADP	
octava	ADJ	
docet	VERB	
labores	NOUN	
ocio	NOUN	
anteponendos	VERB	
esse	AUX	
in	ADP	
ultima	ADJ	
vero	ADV	
docet	VERB	
ideo	ADV	
sese	PRON	
has	DET	
epistolas	NOUN	
adagiis	NOUN	
sectantes	VERB	
scripsisse	VERB	
quo	SCONJ	ADV
paucis	DET	
magna	ADJ	
et	CCONJ	
moralia	ADJ	
impleantur	VERB	
