tokens	pos	annotation
Rusticus	ADJ	PROPN
Placentinus	PROPN	
sub	ADP	
ea	PRON	
tempora	NOUN	
quibus	PRON	
Franciscus	PROPN	
francorum	NOUN	
rex	NOUN	
mediolanensem	ADJ	
ducatum	NOUN	
occupavit	VERB	
cum	SCONJ	
forte	NOUN	ADV
fortuna	NOUN	
Simphorianus	PROPN	
Champerius	PROPN	
papiam	NOUN	
versus	ADV	VERB
digressus	VERB	
commitatus	VERB	
enim	PART	
antea	ADV	
regem	NOUN	
fuerat	AUX	
medicorum	NOUN	
gimnasium	NOUN	
ingrederetur	VERB	
Rusticus	ADJ	
Placentinus	PROPN	
panegyricum	NOUN	
in	ADP	
eius	PRON	
ingressu	NOUN	
dixit	VERB	
oratiungulam	NOUN	
qua	PRON	
ingentes	ADJ	
Simphoriani	PROPN	
laudes	NOUN	
recensens	VERB	
a	ADP	
mutivaga	ADJ	
eius	PRON	
doctrina	NOUN	
et	CCONJ	
indefesso	DET	
studio	NOUN	
ad	ADP	
bonas	ADJ	
literas	NOUN	
beandas	ADJ	VERB
atque	CCONJ	
adaugendas	VERB	
ei	PRON	
confecit	VERB	
encomion	NOUN	
