tokens	pos	annotation
Arnaldus	PROPN	
a	ADP	
Villanova	PROPN	
primarii	ADJ	
inter	ADP	
medicos	NOUN	
nominis	NOUN	
inter	ADP	
complura	DET	
medice	NOUN	
suppellectilis	ADJ	
auctoritaia	NOUN	ADJ
librum	NOUN	
quendam	DET	
edidit	VERB	
parrabolae	NOUN	
medicinales	ADJ	
inscriptum	VERB	
quo	PRON	
in	ADP	
septem	NUM	
partito	VERB	
doctrinas	NOUN	
omneis	ADJ	
poene	ADV	
tam	ADV	
medicis	NOUN	
tum	ADV	
cirurgis	NOUN	
fenestras	NOUN	
aperuit	VERB	
ad	ADP	
methodum	NOUN	
suae	DET	
praxeos	ADJ	NOUN
assequendam	VERB	
in	ADP	
primis	ADJ	
enim	PART	
summatim	ADV	
prodit	VERB	
que	CCONJ	
a	ADP	
iusto	ADJ	
medicorum	NOUN	
tramite	NOUN	
non	PART	
deviaturum	VERB	
expediunt	VERB	
inter	ADP	
quae	PRON	
non	PART	
repetitum	VERB	
est	AUX	
ne	SCONJ	
divini	ADJ	
cultus	NOUN	
amator	NOUN	
ac	CCONJ	
ei	PRON	
cum	ADP	
somis	NOUN	
deditus	VERB	
tam	CCONJ	
quam	SCONJ	CCONJ
laborantis	VERB	
seu	CCONJ	
affecti	VERB	
medicus	NOUN	
inhiet	VERB	
sanitati	NOUN	
ne	SCONJ	
ne	ADV	X
corporum	NOUN	
naturas	NOUN	
morbeorum	ADJ	NOUN
species	NOUN	
causarum	NOUN	
varietatem	NOUN	
ac	CCONJ	
vires	NOUN	
instrumentorum	NOUN	
ignoret	VERB	
deinde	ADV	
secundi	ADJ	
precepti	NOUN	
gratia	NOUN	
precipuas	DET	
ac	CCONJ	
magis	ADV	
necessarias	ADJ	
utrique	DET	
cirurgo	ADJ	NOUN
silicet	ADV	
ac	CCONJ	
medico	NOUN	
regulas	NOUN	
prescripsit	VERB	
tum	ADV	
pro	ADP	
complexionis	NOUN	
malitia	NOUN	
eradicanda	VERB	
cum	SCONJ	
corporis	NOUN	
quaque	DET	
partem	NOUN	
affecta	VERB	
aut	CCONJ	
quamlibet	DET	
a	ADP	
sanitate	NOUN	
destituta	VERB	
ad	ADP	
convenientem	VERB	
dispositionem	NOUN	
restituendam	VERB	
nec	CCONJ	
contulit	VERB	
utilitatis	NOUN	
pro	ADP	
altera	DET	
medicine	ADJ	
parte	NOUN	
quae	PRON	
est	AUX	
tuende	VERB	
sanitatum	NOUN	
pro	ADP	
ea	PRON	
anim	NOUN	
et	CCONJ	
pro	ADP	
convalescentum	VERB	
regimine	NOUN	
eandem	DET	
aut	CCONJ	
certe	ADV	
non	PART	
inferiorem	ADJ	
curam	NOUN	
adhibuit	VERB	
