,tokens,pos,annotation
0,Habet,VERB,
1,poeseos,NOUN,
2,supellex,NOUN,
3,comediam,NOUN,
4,quamdam,DET,
5,elegeiaco,ADJ,
6,pede,NOUN,
7,scriptam,VERB,
8,que,CCONJ,
9,Pamphileos,PROPN,
10,inscribitur,VERB,
11,de,ADP,
12,cuius,PRON,
13,auctore,NOUN,
14,contentionem,NOUN,
15,reperio,VERB,
16,ab,ADP,
17,eius,PRON,
18,commentario,NOUN,
19,qui,PRON,
20,non,PART,
21,credens,VERB,
22,eam,PRON,
23,Ovidii,PROPN,
24,fuisse,AUX,
25,certe,ADV,
26,Ovidii,PROPN,
27,cuiusdam,DET,
28,sectatoris,NOUN,
29,extitisse,VERB,
30,autumat,VERB,
31,ob,ADP,
32,preceptorum,DET,
33,que,PRON,
34,de,ADP,
35,amore,NOUN,
36,tradit,VERB,
37,cum,SCONJ,
38,ovidianis,DET,
39,preceptis,VERB,
40,conformitatem,NOUN,
41,quis,PRON,
42,igitur,PART,
43,extiterit,VERB,
44,aliorum,DET,
45,sententie,NOUN,
46,delato,VERB,
47,huius,DET,
48,est,AUX,
49,principii,NOUN,
50,vulneror,NOUN,
51,et,CCONJ,
52,clausum,VERB,
53,porto,VERB,
54,sub,ADP,
55,pectore,NOUN,
56,vulnus,NOUN,
57,habet,VERB,
58,que,CCONJ,
59,Pamphili,PROPN,
60,cuiusdam,DET,
61,Galateam,PROPN,
62,deperientis,VERB,
63,amores,NOUN,
64,qui,PRON,
65,hoc,DET,
66,fere,ADV,
67,tenore,NOUN,
68,ab,ADP,
69,eo,PRON,
70,discribuntur,VERB,
71,Pamphilus,PROPN,
72,de,ADP,
73,ardore,NOUN,
74,sui,DET,
75,amoris,NOUN,
76,conquestus,VERB,
77,a,ADP,
78,Venere,PROPN,
79,documenta,NOUN,
80,pro,ADP,
81,remedio,NOUN,
82,accipit,VERB,
83,quibus,PRON,
84,audentior,ADJ,
85,factus,VERB,
86,Galateam,PROPN,
87,alloquitur,VERB,
88,que,CCONJ,
89,ut,SCONJ,
90,est,AUX,
91,foeminarum,NOUN,
92,primo,ADJ,
93,aggressu,NOUN,
94,severitas,NOUN,
95,petitis,VERB,
96,annuere,VERB,
97,recusat,VERB,
98,quod,PRON,
99,quidem,PART,
100,Pamphilo,PROPN,
101,causa,NOUN,
102,est,AUX,
103,vetule,NOUN,
104,cuiusdam,DET,
105,auxilium,NOUN,
106,implorandi,VERB,
107,que,CCONJ,
108,dum,SCONJ,
109,lene,ADV,
110,officio,NOUN,
111,fungitur,VERB,
112,ut,SCONJ,
113,plus,ADV,
114,a,ADP,
115,correpto,VERB,
116,adulescente,NOUN,
117,pecuniarum,NOUN,
118,emungat,VERB,
119,delationis,NOUN,
120,causas,NOUN,
121,nectit,VERB,
122,ast,CCONJ,
123,tandem,ADV,
124,favore,NOUN,
125,ei,PRON,
126,liberalius,ADV,
127,prestito,VERB,
128,Pamphilum,PROPN,
129,simul,ADV,
130,et,CCONJ,
131,Galateam,PROPN,
132,domi,ADV,
133,sub,ADP,
134,utriusque,DET,
135,consensu,NOUN,
136,et,CCONJ,
137,pacto,NOUN,
138,recipit,VERB,
139,auctor,NOUN,
140,que,CCONJ,
141,efficitur,VERB,
142,optato,VERB,
143,potiundi,VERB,
144,fine,NOUN,
145,quem,PRON,
146,foedere,NOUN,
147,coniugali,ADJ,
148,tamdem,ADV,
149,Pamphilus,PROPN,
150,assequitur,VERB,
151,quequidem,ADV,
152,dum,SCONJ,
153,a,ADP,
154,comedie,NOUN,
155,huius,DET,
156,auctore,NOUN,
157,familiari,ADJ,
158,versu,NOUN,
159,describuntur,VERB,
160,interim,ADV,
161,amoris,NOUN,
162,in,ADP,
163,adolescentes,VERB,
164,imperium,NOUN,
165,amantium,VERB,
166,que,CCONJ,
167,passiones,NOUN,
168,ac,CCONJ,
169,incommoda,ADJ,
170,nec,CCONJ,
171,non,PART,
172,lenarum,NOUN,
173,versutie,ADJ,
174,non,PART,
175,avare,VERB,
176,ab,ADP,
177,eo,PRON,
178,docentur,VERB,
