,tokens,pos,annotation
0,Iudocus,PROPN,
1,Clithoveus,PROPN,
2,de,ADP,
3,praxi,NOUN,
4,atque,CCONJ,
5,arte,NOUN,
6,numerandi,VERB,
7,compendio,NOUN,
8,sum,AUX,
9,edidit,VERB,
10,libellum,NOUN,
11,in,ADP,
12,quo,PRON,
13,disiunctim,ADV,
14,de,ADP,
15,utraque,DET,
16,supputandi,VERB,
17,ratione,NOUN,
18,tam,ADV,
19,calculis,NOUN,
20,numeralibus,ADJ,
21,quam,SCONJ,
22,arithmeticis,NOUN,
23,notis,VERB,
24,exercenda,VERB,
25,breves,ADJ,
26,quasdam,DET,
27,preceptiones,NOUN,
28,tradit,VERB,
29,que,CCONJ,
30,et,CCONJ,
31,si,SCONJ,
32,per,ADP,
33,se,PRON,
34,lucidae,NOUN,
35,sint,AUX,
36,pro,ADP,
37,maiori,ADJ,
38,tamen,ADV,
39,intellectus,NOUN,
40,supplemento,NOUN,
41,explanantur,VERB,
42,ab,ADP,
43,eodem,DET,
44,exemplari,ADJ,
45,commen,NOUN,
46,tariolo,NOUN,
47,habito,VERB,
48,enim,PART,
49,quid,PRON,
50,sit,AUX,
51,calcularis,ADJ,
52,numeratio,NOUN,
53,que,CCONJ,
54,etiam,ADV,
55,eius,PRON,
56,sint,AUX,
57,regule,NOUN,
58,subsequenter,ADV,
59,edisserit,VERB,
60,de,ADP,
61,additione,NOUN,
62,qualiter,SCONJ,
63,silicet,ADV,
64,multi,DET,
65,numeri,NOUN,
66,sigillatim,ADV,
67,sumpti,VERB,
68,in,ADP,
69,unum,DET,
70,summmarium,NOUN,
71,colliguntur,VERB,
72,item,ADV,
73,de,ADP,
74,substractione,NOUN,
75,quae,PRON,
76,a,ADP,
77,maiori,ADJ,
78,numero,NOUN,
79,minorem,ADJ,
80,subducere,VERB,
81,seu,CCONJ,
82,abstrahere,VERB,
83,docet,VERB,
84,simul,ADV,
85,et,CCONJ,
86,de,ADP,
87,multiplicatione,NOUN,
88,quae,PRON,
89,fit,VERB,
90,quoties,ADV,
91,ex,ADP,
92,ductu,NOUN,
93,unius,NUM,
94,numeri,NOUN,
95,in,ADP,
96,alterum,DET,
97,unus,NUM,
98,totus,DET,
99,numerus,NOUN,
100,producitur,VERB,
101,item,ADV,
102,de,ADP,
103,divisione,NOUN,
104,quae,PRON,
105,fit,VERB,
106,numerum,NOUN,
107,maiorem,ADJ,
108,per,ADP,
109,minorem,ADJ,
110,distribuendo,VERB,
111,ut,SCONJ,
112,aperte,ADV,
113,cognoscatur,VERB,
114,quoties,ADV,
115,minor,ADJ,
116,numerus,NOUN,
117,in,ADP,
118,maiore,ADJ,
119,reperitur,VERB,
120,quequidem,DET,
121,membra,NOUN,
122,in,ADP,
123,figurali,ADJ,
124,supputatione,NOUN,
125,prosequitur,VERB,
126,additis,VERB,
127,tamen,ADV,
128,tribus,NUM,
129,videlicet,ADV,
130,dimidiatione,NOUN,
131,dupplatione,NOUN,
132,progressione,NOUN,
133,est,AUX,
134,enim,PART,
135,dimidiatio,NOUN,
136,medietatis,NOUN,
137,numeri,NOUN,
138,propositi,VERB,
139,acceptio,NOUN,
140,dupplatio,NOUN,
141,est,AUX,
142,numeri,NOUN,
143,ad,ADP,
144,datum,VERB,
145,numerum,NOUN,
146,dupli,NOUN,
147,assignatio,NOUN,
148,progressio,NOUN,
149,vero,ADV,
150,est,AUX,
151,numerorum,NOUN,
152,equaliter,ADV,
153,a,ADP,
154,se,PRON,
155,distantium,VERB,
156,et,CCONJ,
157,equali,ADJ,
158,dimisso,VERB,
159,interstitio,NOUN,
160,sumptorum,VERB,
161,in,ADP,
162,unam,NUM,
163,summam,ADJ,
164,collectio,NOUN,
165,de,ADP,
166,quibus,PRON,
167,nonnullas,DET,
168,tradens,VERB,
169,regulas,NOUN,
170,finem,NOUN,
171,operi,NOUN,
172,facit,VERB,
