,tokens,pos,annotation
0,Arnaldus,PROPN,
1,a,ADP,
2,Villanova,PROPN,
3,primarii,ADJ,
4,inter,ADP,
5,medicos,NOUN,
6,nominis,NOUN,
7,inter,ADP,
8,complura,DET,
9,medice,NOUN,
10,suppellectilis,ADJ,
11,auctoritaia,NOUN,
12,librum,NOUN,
13,quendam,DET,
14,edidit,VERB,
15,parrabolae,NOUN,
16,medicinales,ADJ,
17,inscriptum,VERB,
18,quo,PRON,
19,in,ADP,
20,septem,NUM,
21,partito,VERB,
22,doctrinas,NOUN,
23,omneis,ADJ,
24,poene,ADV,
25,tam,ADV,
26,medicis,NOUN,
27,tum,ADV,
28,cirurgis,NOUN,
29,fenestras,NOUN,
30,aperuit,VERB,
31,ad,ADP,
32,methodum,NOUN,
33,suae,DET,
34,praxeos,ADJ,
35,assequendam,VERB,
36,in,ADP,
37,primis,ADJ,
38,enim,PART,
39,summatim,ADV,
40,prodit,VERB,
41,que,CCONJ,
42,a,ADP,
43,iusto,ADJ,
44,medicorum,NOUN,
45,tramite,NOUN,
46,non,PART,
47,deviaturum,VERB,
48,expediunt,VERB,
49,inter,ADP,
50,quae,PRON,
51,non,PART,
52,repetitum,VERB,
53,est,AUX,
54,ne,SCONJ,
55,divini,ADJ,
56,cultus,NOUN,
57,amator,NOUN,
58,ac,CCONJ,
59,ei,PRON,
60,cum,ADP,
61,somis,NOUN,
62,deditus,VERB,
63,tam,CCONJ,
64,quam,SCONJ,
65,laborantis,VERB,
66,seu,CCONJ,
67,affecti,VERB,
68,medicus,NOUN,
69,inhiet,VERB,
70,sanitati,NOUN,
71,ne,SCONJ,
72,ne,ADV,
73,corporum,NOUN,
74,naturas,NOUN,
75,morbeorum,ADJ,
76,species,NOUN,
77,causarum,NOUN,
78,varietatem,NOUN,
79,ac,CCONJ,
80,vires,NOUN,
81,instrumentorum,NOUN,
82,ignoret,VERB,
83,deinde,ADV,
84,secundi,ADJ,
85,precepti,NOUN,
86,gratia,NOUN,
87,precipuas,DET,
88,ac,CCONJ,
89,magis,ADV,
90,necessarias,ADJ,
91,utrique,DET,
92,cirurgo,ADJ,
93,silicet,ADV,
94,ac,CCONJ,
95,medico,NOUN,
96,regulas,NOUN,
97,prescripsit,VERB,
98,tum,ADV,
99,pro,ADP,
100,complexionis,NOUN,
101,malitia,NOUN,
102,eradicanda,VERB,
103,cum,SCONJ,
104,corporis,NOUN,
105,quaque,DET,
106,partem,NOUN,
107,affecta,VERB,
108,aut,CCONJ,
109,quamlibet,DET,
110,a,ADP,
111,sanitate,NOUN,
112,destituta,VERB,
113,ad,ADP,
114,convenientem,VERB,
115,dispositionem,NOUN,
116,restituendam,VERB,
117,nec,CCONJ,
118,contulit,VERB,
119,utilitatis,NOUN,
120,pro,ADP,
121,altera,DET,
122,medicine,ADJ,
123,parte,NOUN,
124,quae,PRON,
125,est,AUX,
126,tuende,VERB,
127,sanitatum,NOUN,
128,pro,ADP,
129,ea,PRON,
130,anim,NOUN,
131,et,CCONJ,
132,pro,ADP,
133,convalescentum,VERB,
134,regimine,NOUN,
135,eandem,DET,
136,aut,CCONJ,
137,certe,ADV,
138,non,PART,
139,inferiorem,ADJ,
140,curam,NOUN,
141,adhibuit,VERB,
