,tokens,pos,annotation
0,Liber,NOUN,
1,quidam,DET,
2,de,ADP,
3,simplicibus,ADJ,
4,medicinis,NOUN,
5,tam,ADV,
6,medicis,ADJ,
7,quam,SCONJ,
8,eorum,PRON,
9,ministris,NOUN,
10,pharmacopolis,NOUN,
11,apprime,ADV,
12,necessariis,ADJ,
13,posteris,ADJ,
14,relictus,VERB,
15,est,AUX,
16,qui,PRON,
17,ascribitur,VERB,
18,cuidam,DET,
19,Plateario,PROPN,
20,auctoris,NOUN,
21,ut,SCONJ,
22,suspitione,NOUN,
23,ducor,VERB,
24,cognomento,NOUN,
25,pro,ADP,
26,auctorum,VERB,
27,intellecto,VERB,
28,et,CCONJ,
29,est,AUX,
30,vulgo,NOUN,
31,circa,ADP,
32,instans,NOUN,
33,dictus,VERB,
34,eam,PRON,
35,q,CCONJ,
36,†tionem,NOUN,
37,sortitus,VERB,
38,ex,ADP,
39,hoc,DET,
40,sui,PRON,
41,ex,ADP,
42,†dio,NOUN,
43,circa,ADP,
44,instans,NOUN,
45,negocium,NOUN,
46,de,ADP,
47,simplicibus,ADJ,
48,medicinis,NOUN,
49,numerum,NOUN,
50,versatur,VERB,
51,propositum,VERB,
52,est,AUX,
53,autem,PART,
54,huius,DET,
55,libri,NOUN,
56,tractatio,NOUN,
57,de,ADP,
58,simplicibus,ADJ,
59,medicinis,NOUN,
60,ut,SCONJ,
61,sunt,AUX,
62,herbe,NOUN,
63,frutices,NOUN,
64,flores,NOUN,
65,liquores,NOUN,
66,semina,NOUN,
67,item,ADV,
68,nonnulla,NOUN,
69,mineralia,ADJ,
70,que,PRON,
71,omnia,DET,
72,alphabetico,ADJ,
73,ordine,NOUN,
74,digesta,VERB,
75,sunt,AUX,
76,quatenus,SCONJ,
77,silicet,ADV,
78,ab,ADP,
79,effec,NOUN,
80,simul,ADV,
81,et,CCONJ,
82,causis,NOUN,
83,cognosci,VERB,
84,habeant,VERB,
85,docentur,VERB,
86,enim,PART,
87,in,ADP,
88,eo,PRON,
89,omnium,DET,
90,istarum,DET,
91,diffinitiones,NOUN,
92,item,ADV,
93,et,ADV,
94,effectus,NOUN,
95,et,CCONJ,
96,nature,NOUN,
97,post,ADV,
98,que,CCONJ,
99,deinde,ADV,
100,operationis,NOUN,
101,causa,NOUN,
102,clarescit,VERB,
103,qua,PRON,
104,declarata,VERB,
105,effectus,NOUN,
106,pro,ADP,
107,iis,PRON,
108,qui,PRON,
109,speculationi,NOUN,
110,tepidius,ADV,
111,incumbunt,VERB,
112,sic,ADV,
113,explicantur,VERB,
114,ut,SCONJ,
115,vel,CCONJ,
116,semidoctis,VERB,
117,philosophie,NOUN,
118,secreta,VERB,
119,pateant,VERB,
120,in,ADP,
121,principio,NOUN,
122,autem,PART,
123,huius,DET,
124,libri,NOUN,
125,questione,NOUN,
126,commodum,ADV,
127,proposita,VERB,
128,cur,ADV,
129,medicine,NOUN,
130,componite,VERB,
131,fuerint,AUX,
132,invente,VERB,
133,cum,SCONJ,
134,omnis,DET,
135,virtus,NOUN,
136,que,PRON,
137,in,ADP,
138,compositis,NOUN,
139,est,AUX,
140,reperiatur,VERB,
141,in,ADP,
142,simplicibus,ADJ,
143,et,CCONJ,
144,pregustato,VERB,
145,simplicem,ADJ,
146,medicinam,ADJ,
147,esse,AUX,
148,eam,PRON,
149,que,CCONJ,
150,talis,DET,
151,est,AUX,
152,qualis,DET,
153,a,ADP,
154,natura,NOUN,
155,producitur,VERB,
156,compositam,VERB,
157,que,CCONJ,
158,ex,ADP,
159,mixtione,NOUN,
160,simplicium,ADJ,
161,conficitur,VERB,
162,haud,PART,
163,occiosam,VERB,
164,fuisse,AUX,
165,earum,PRON,
166,inventionem,NOUN,
167,deducitur,VERB,
168,in,ADP,
169,primis,ADJ,
170,morbi,NOUN,
171,incidentis,NOUN,
172,violentia,NOUN,
173,secundo,ADJ,
174,morborum,NOUN,
175,contrarietate,NOUN,
176,tertio,ADV,
177,membrorum,NOUN,
178,contraria,ADJ,
179,dispositione,NOUN,
180,et,CCONJ,
181,aliquorum,DET,
182,nobilitate,NOUN,
183,cum,SCONJ,
184,enim,PART,
185,uno,NUM,
186,ac,CCONJ,
187,simplici,ADJ,
188,langore,NOUN,
189,corpus,NOUN,
190,humanum,ADJ,
191,affici,VERB,
192,contingat,VERB,
193,respondentem,VERB,
194,oportuit,VERB,
195,affectibus,NOUN,
196,invenire,VERB,
197,medelam,NOUN,
