,tokens,pos,annotation
0,Iacobus,PROPN,
1,Latomus,PROPN,
2,natione,NOUN,
3,flamingus,NOUN,
4,sub,ADP,
5,annum,NOUN,
6,undevigerimum,ADJ,
7,supra,ADP,
8,sesquimillesimum,ADJ,
9,dialogum,NOUN,
10,quendam,DET,
11,edidit,VERB,
12,detrium,NOUN,
13,linguarum,NOUN,
14,et,CCONJ,
15,studii,NOUN,
16,theologici,ADJ,
17,ratione,NOUN,
18,In,ADP,
19,quo,PRON,
20,treis,NOUN,
21,diversae,ADJ,
22,professionis,NOUN,
23,iuventus,NOUN,
24,inducens,VERB,
25,quorum,PRON,
26,unus,NUM,
27,rhetoricae,NOUN,
28,et,CCONJ,
29,linguarumalter,NOUN,
30,scholasticae,ADJ,
31,thrologie,NOUN,
32,discutit,VERB,
33,in,ADP,
34,primis,ADJ,
35,an,CCONJ,
36,sit,AUX,
37,necessaria,ADJ,
38,theologo,NOUN,
39,trium,NUM,
40,linguarum,NOUN,
41,peritia,NOUN,
42,hebraicae,ADJ,
43,scilicet,CCONJ,
44,graicae,ADJ,
45,atque,CCONJ,
46,latinae,ADJ,
47,agit,VERB,
48,que,CCONJ,
49,in,ADP,
50,primo,ADJ,
51,duorum,NUM,
52,librorum,NOUN,
53,in,ADP,
54,quos,PRON,
55,dialogum,NOUN,
56,secivit,VERB,
57,de,ADP,
58,rationibus,NOUN,
59,id,PRON,
60,adstringentibus,VERB,
61,Quantum,ADV,
62,autem,PART,
63,ad,ADP,
64,conclusionem,NOUN,
65,attinet,VERB,
66,colligo,VERB,
67,ex,ADP,
68,ambobus,DET,
69,libellis,NOUN,
70,linguarum,NOUN,
71,peritiam,NOUN,
72,et,CCONJ,
73,etiam,ADV,
74,rhetoricae,NOUN,
75,studium,NOUN,
76,ea,PRON,
77,tenus,ADJ,
78,theologo,NOUN,
79,necessarium,ADJ,
80,esse,AUX,
81,quatenus,CCONJ,
82,non,PART,
83,utramque,DET,
84,paginam,NOUN,
85,impleat,VERB,
86,se,PRON,
87,que,CCONJ,
88,verborum,NOUN,
89,studiosius,ADV,
90,sit,AUX,
91,theologus,NOUN,
92,ut,SCONJ,
93,malit,VERB,
94,intelligi,VERB,
95,quam,SCONJ,
96,a,ADP,
97,latinitate,NOUN,
98,cothurnata,VERB,
99,ne,SCONJ,
100,transversum,VERB,
101,quidem,PART,
102,unguem,NOUN,
103,deflecterem,VERB,
104,ut,SCONJ,
105,non,PART,
106,intelligatur,VERB,
107,sed,CCONJ,
108,acrius,ADV,
109,longe,ADV,
110,contendunt,VERB,
111,super,ADP,
112,ratione,NOUN,
113,studii,NOUN,
114,theologici,ADJ,
115,et,CCONJ,
116,ne,PART,
117,scilicet,CCONJ,
118,ab,ADP,
119,eo,PRON,
120,sint,AUX,
121,excludendi,VERB,
122,scholastici,ADJ,
123,doctores,NOUN,
124,et,CCONJ,
125,quantum,ADV,
126,perpendere,VERB,
127,valeo,VERB,
128,prelegendos,VERB,
129,quidem,PART,
130,asserunt,VERB,
131,a,ADP,
132,iunioribus,ADJ,
133,theologis,NOUN,
134,non,PART,
135,esse,AUX,
136,tum,ADV,
137,in,ADP,
138,eis,PRON,
139,consenescendum,VERB,
140,omnino,ADV,
141,autem,PART,
142,sophistas,VERB,
143,tanquam,SCONJ,
144,theolo,NOUN,
145,giae,NOUN,
146,et,CCONJ,
147,bonarum,ADJ,
148,litterarum,NOUN,
149,novercas,NOUN,
150,abiigendos,VERB,
151,docet,VERB,
152,qui,PRON,
153,inutilia,ADJ,
154,curiosa,ADJ,
155,frivola,ADJ,
156,texentes,VERB,
157,et,CCONJ,
158,retexentes,VERB,
159,putant,VERB,
160,se,PRON,
161,profundissime,ADV,
162,theologari,VERB,
163,cum,SCONJ,
164,a,ADP,
165,theologia,NOUN,
166,per,ADP,
167,multas,DET,
168,inquit,VERB,
169,absint,VERB,
170,parasaneasQuae,ADJ,
171,dum,SCONJ,
172,ita,ADV,
173,discutiunt,VERB,
174,interim,ADV,
175,non,PART,
176,parum,ADV,
177,serio,ADJ,
178,barbaros,ADJ,
179,insectantur,VERB,
180,coniunctim,ADV,
181,requirentes,VERB,
182,quatenus,SCONJ,
183,commode,ADV,
184,fieri,VERB,
185,possit,VERB,
186,theologiae,NOUN,
187,ac,CCONJ,
188,etiam,ADV,
189,reliquis,DET,
190,quibusvis,ADJ,
191,studiis,NOUN,
192,eloquentiam,NOUN,
