,tokens,pos,annotation
0,Marcus,PROPN,
1,Tullius,PROPN,
2,Cicero,PROPN,
3,romani,ADJ,
4,eloquii,NOUN,
5,iubar,NOUN,
6,inter,ADP,
7,alia,DET,
8,quae,PRON,
9,scriptsit,VERB,
10,opus,NOUN,
11,unum,NUM,
12,de,ADP,
13,officiis,NOUN,
14,tribus,NUM,
15,libris,NOUN,
16,complexus,VERB,
17,estin,VERB,
18,quo,PRON,
19,ex,ADP,
20,intimis,ADJ,
21,philosophie,NOUN,
22,penetralibus,ADJ,
23,plura,DET,
24,quam,SCONJ,
25,quae,PRON,
26,facile,ADV,
27,in,ADP,
28,epithomem,NOUN,
29,redigam,VERB,
30,moralia,ADJ,
31,tradidit,VERB,
32,ad,ADP,
33,vite,NOUN,
34,honeste,ADV,
35,insistutum,VERB,
36,facientia,NOUN,
37,precepta,VERB,
38,cum,SCONJ,
39,enim,PART,
40,quid,PRON,
41,et,CCONJ,
42,quottuplex,ADV,
43,sit,AUX,
44,officum,ADJ,
45,quod,PRON,
46,recti,ADJ,
47,appellat,VERB,
48,rationem,NOUN,
49,seu,CCONJ,
50,actionem,NOUN,
51,quam,PRON,
52,ratio,NOUN,
53,suadet,VERB,
54,curiosius,ADV,
55,inquirit,VERB,
56,ipsum,DET,
57,que,CCONJ,
58,ex,ADP,
59,4,NUM,
60,virtutibus,NOUN,
61,veluti,ADV,
62,ex,ADP,
63,4,NUM,
64,fontibusprudentia,NOUN,
65,scilicet,CCONJ,
66,iusticia,ADJ,
67,fortitudine,NOUN,
68,et,CCONJ,
69,temperantia,NOUN,
70,manare,VERB,
71,ostendit,VERB,
72,interim,ADV,
73,earum,PRON,
74,omnium,DET,
75,virtutum,NOUN,
76,rationem,NOUN,
77,explicat,VERB,
78,quae,PRON,
79,has,DET,
80,veluti,ADV,
81,duces,NOUN,
82,comitantur,VERB,
83,quibus,PRON,
84,quidem,PART,
85,efferendis,VERB,
86,ea,PRON,
87,usus,NOUN,
88,est,AUX,
89,erga,ADP,
90,conditionis,NOUN,
91,cuiusque,DET,
92,homines,NOUN,
93,liberalitate,NOUN,
94,ut,SCONJ,
95,tam,ADV,
96,magistratuum,NOUN,
97,quam,SCONJ,
98,privatorum,NOUN,
99,hominum,NOUN,
100,ac,CCONJ,
101,peregrinorum,NOUN,
102,munus,NOUN,
103,in,ADP,
104,republica,NOUN,
105,distinxerit,VERB,
106,et,CCONJ,
107,singulos,ADJ,
108,rectam,ADJ,
109,docuerit,VERB,
110,vivendi,VERB,
111,legem,NOUN,
112,quam,PRON,
113,transilire,VERB,
114,non,PART,
115,sine,ADP,
116,vitio,NOUN,
117,possis,VERB,
