tokens	pos	annotation
Ad	ADP	
annum	NOUN	
nonagesimum	ADJ	
primum	ADV	ADJ
supra	ADP	
quadringentesimum	ADJ	
ac	CCONJ	
millesimum	ADJ	
sectator	NOUN	
quidam	DET	
ordinis	NOUN	
heremitarum	NOUN	
divi	ADJ	
Augustini	PROPN	
Friderico	PROPN	
et	CCONJ	
Ioanni	PROPN	
Saxonie	PROPN	
ducibus	NOUN	
libellum	NOUN	
quemdam	DET	
nomine	NOUN	
suo	DET	
suppresso	VERB	
sacrum	NOUN	
invulgavit	VERB	
de	ADP	
7	NUM	
foribus	NOUN	
seu	CCONJ	
festis	NOUN	
beate	ADJ	
Marie	PROPN	
huius	DET	
principii	NOUN	
desyderabant	VERB	
scire	VERB	
illustrissime	ADV	adj
dominationes	NOUN	
vestre	DET	
in	ADP	
quo	PRON	
sumpto	VERB	
hoc	DET	
themate	NOUN	
Solomonis	PROPN	
proverbiorum	NOUN	
octavo	ADJ	
beatus	ADJ	
homo	NOUN	
qui	PRON	
vigilat	VERB	
ad	ADP	
fores	NOUN	
meas	DET	
quotidie	ADV	
sensum	NOUN	
docet	VERB	
quo	PRON	
ea	PRON	
verba	NOUN	
quae	PRON	
de	ADP	
eterna	ADJ	
sapientia	NOUN	
prolata	VERB	
fuere	AUX	
congrue	ADV	
de	ADP	
cristipara	NOUN	
possint	VERB	
intelligi	VERB	
virgine	NOUN	
per	ADP	
fores	NOUN	
7	NUM	
sua	DET	
volens	VERB	
comprehendi	VERB	
posse	VERB	
festa	ADJ	NOUN
quae	PRON	
quibus	PRON	
rationibus	NOUN	
omni	DET	
sedulitate	NOUN	
sint	AUX	
observanda	VERB	
multis	DET	
suasionibus	NOUN	
ostendit	VERB	
immixtis	VERB	
passim	ADV	
Marie	PROPN	
quae	PRON	
numquam	ADV	
satis	ADV	
efferri	VERB	
potuit	VERB	
laudibus	NOUN	
ac	CCONJ	
oratiunculis	NOUN	
ad	ADP	
eandem	DET	
et	CCONJ	
filium	NOUN	
eius	PRON	
servatorem	ADJ	
Cristum	PROPN	
inter	ADP	
cetera	DET	
quod	SCONJ	
depravatis	VERB	
mentibus	NOUN	
olim	ADV	
aliquanta	DET	
incideret	VERB	
circa	ADP	
eam	PRON	
rem	NOUN	
ambiguitas	NOUN	
conceptionem	NOUN	
summopere	ADV	
observandam	VERB	
esse	AUX	
et	CCONJ	
virginem	NOUN	
ab	ADP	
originali	ADJ	
peccato	NOUN	
preservatam	VERB	
fuisse	AUX	
clare	ADV	
demonstrans	VERB	
