,tokens,pos,annotation
0,Ad,ADP,
1,annum,NOUN,
2,nonagesimum,ADJ,
3,primum,ADV,
4,supra,ADP,
5,quadringentesimum,ADJ,
6,ac,CCONJ,
7,millesimum,ADJ,
8,sectator,NOUN,
9,quidam,DET,
10,ordinis,NOUN,
11,heremitarum,NOUN,
12,divi,ADJ,
13,Augustini,PROPN,
14,Friderico,PROPN,
15,et,CCONJ,
16,Ioanni,PROPN,
17,Saxonie,PROPN,
18,ducibus,NOUN,
19,libellum,NOUN,
20,quemdam,DET,
21,nomine,NOUN,
22,suo,DET,
23,suppresso,VERB,
24,sacrum,NOUN,
25,invulgavit,VERB,
26,de,ADP,
27,7,NUM,
28,foribus,NOUN,
29,seu,CCONJ,
30,festis,NOUN,
31,beate,ADJ,
32,Marie,PROPN,
33,huius,DET,
34,principii,NOUN,
35,desyderabant,VERB,
36,scire,VERB,
37,illustrissime,ADV,
38,dominationes,NOUN,
39,vestre,DET,
40,in,ADP,
41,quo,PRON,
42,sumpto,VERB,
43,hoc,DET,
44,themate,NOUN,
45,Solomonis,PROPN,
46,proverbiorum,NOUN,
47,octavo,ADJ,
48,beatus,ADJ,
49,homo,NOUN,
50,qui,PRON,
51,vigilat,VERB,
52,ad,ADP,
53,fores,NOUN,
54,meas,DET,
55,quotidie,ADV,
56,sensum,NOUN,
57,docet,VERB,
58,quo,PRON,
59,ea,PRON,
60,verba,NOUN,
61,quae,PRON,
62,de,ADP,
63,eterna,ADJ,
64,sapientia,NOUN,
65,prolata,VERB,
66,fuere,AUX,
67,congrue,ADV,
68,de,ADP,
69,cristipara,NOUN,
70,possint,VERB,
71,intelligi,VERB,
72,virgine,NOUN,
73,per,ADP,
74,fores,NOUN,
75,7,NUM,
76,sua,DET,
77,volens,VERB,
78,comprehendi,VERB,
79,posse,VERB,
80,festa,ADJ,
81,quae,PRON,
82,quibus,PRON,
83,rationibus,NOUN,
84,omni,DET,
85,sedulitate,NOUN,
86,sint,AUX,
87,observanda,VERB,
88,multis,DET,
89,suasionibus,NOUN,
90,ostendit,VERB,
91,immixtis,VERB,
92,passim,ADV,
93,Marie,PROPN,
94,quae,PRON,
95,numquam,ADV,
96,satis,ADV,
97,efferri,VERB,
98,potuit,VERB,
99,laudibus,NOUN,
100,ac,CCONJ,
101,oratiunculis,NOUN,
102,ad,ADP,
103,eandem,DET,
104,et,CCONJ,
105,filium,NOUN,
106,eius,PRON,
107,servatorem,ADJ,
108,Cristum,PROPN,
109,inter,ADP,
110,cetera,DET,
111,quod,SCONJ,
112,depravatis,VERB,
113,mentibus,NOUN,
114,olim,ADV,
115,aliquanta,DET,
116,incideret,VERB,
117,circa,ADP,
118,eam,PRON,
119,rem,NOUN,
120,ambiguitas,NOUN,
121,conceptionem,NOUN,
122,summopere,ADV,
123,observandam,VERB,
124,esse,AUX,
125,et,CCONJ,
126,virginem,NOUN,
127,ab,ADP,
128,originali,ADJ,
129,peccato,NOUN,
130,preservatam,VERB,
131,fuisse,AUX,
132,clare,ADV,
133,demonstrans,VERB,
